43,613
65,630
79,621
95,661
109,663
123,632
139,635
153,668
167,655
182,613
197,648
211,672
226,642
240,630
256,652
270,665
284,631
299,622
314,666
328,655
343,611
357,636
372,667
387,651
401,622
415,651
431,671
445,636
459,623
475,648
490,671
504,637
519,622
533,665
548,664
563,628
577,634
591,666
607,659
621,612
635,641
650,664
665,643
679,618
694,652
708,668
723,632
738,621
752,662
766,665
782,628
796,632
811,662
825,664
840,619
855,646
869,674
883,642
901,632
917,629
931,663
946,665
961,626
975,631
990,668
1005,655
1019,621
1035,635
1049,666
1064,643
1079,623
1093,638
1108,669
1123,648
1138,619
1153,648
1168,676
1182,643
1198,621
1212,651
1226,666
1242,637
1256,614
1271,658
1286,672
1300,628
1315,626
1330,661
1345,663
1359,633
1375,624
1390,656
1404,662
1420,627
1434,627
1449,661
1464,655
1478,623
1494,633
1508,670
1523,652
1538,619
1552,642
1567,670
1582,652
1597,620
1611,647
1627,671
1641,646
1656,616
1674,625
1688,662
1702,656
1718,625
1732,635
1747,665
1762,659
1777,627
1792,637
1806,675
1821,651
1837,614
1851,637
1866,672
1881,658
1896,621
1910,640
1926,666
1940,646
1955,620
1970,644
1984,670
1999,631
2014,619
2029,660
2043,662
2059,632
2073,624
2087,660
2103,665
2117,633
2132,622
2147,662
2162,659
2177,624
2191,621
2206,667
2221,660
2236,616
2250,634
2266,666
2280,657
2295,621
2311,631
2325,658
2339,652
2355,617
2369,632
2384,662
2399,646
2414,615
2432,623
2446,662
2460,662
2476,611
2490,622
2505,661
2520,657
2534,612
2549,639
2564,661
2579,649
2593,613
2609,635
2623,665
2637,640
2653,613
2667,644
2682,667
2697,635
2711,616
2726,647
2742,666
2756,635
2771,615
2786,652
2801,664
2816,628
2830,617
2845,660
2860,661
2875,625
2889,619
2904,655
2919,657
2933,631
2949,630
2963,660
2978,659
2993,622
3007,634
3022,664
3037,646
3052,622
3066,642
3081,665
3096,641
3110,616
3126,645
3140,665
3154,637
3170,618
3187,628
3203,660
3217,658
3232,621
3247,630
3262,661
3276,653
3292,617
3306,636
3320,663
3336,647
3350,612
3365,636
3380,662
3394,636
3409,611
3424,646
3439,669
3453,638
3468,614
3483,645
3497,659
3513,628
3527,616
3543,652
3557,651
3571,624
3587,616
3601,656
3616,653
3631,622
3645,624
3661,658
3676,649
3690,596
3705,627
3720,655
3735,644
3749,612
3764,640
3779,659
3793,641
3809,611
3823,634
3838,664
3853,634
3867,608
3883,644
3897,653
3912,622
3927,608
3944,625
3958,649
3974,633
3988,608
4003,624
4018,646
4033,628
4047,599
4062,625
4077,651
4091,623
4107,594
4122,622
4136,656
4152,620
4166,599
4182,630
4196,651
4211,611
4226,599
4240,637
4255,644
4270,609
4285,597
4299,631
4314,645
4329,611
4343,609
4359,642
4373,636
4388,619
4403,607
4418,643
4432,635
4447,598
4462,615
4476,653
4492,625
4506,596
4521,623
4536,647
4550,627
4567,600
4581,623
4595,651
4611,630
4625,596
4640,637
4655,651
4670,618
4684,600
4699,638
4716,647
4731,637
4746,608
4761,621
4775,647
4791,632
4805,598
4819,620
4835,653
4849,624
4865,602
4879,633
4894,648
4909,622
4924,598
4938,633
4953,652
4968,620
4982,606
4998,639
5012,653
5027,617
5043,602
5057,637
5072,654
5087,614
5102,601
5116,646
5132,645
5146,613
5161,605
5176,642
5191,651
5206,611
5221,608
5235,646
5373,651
5389,638
5403,603
5417,625
5433,649
5447,633
5463,601
5477,628
5492,657
5507,622
5522,603
5536,627
5552,652
5566,620
5580,601
5598,612
5613,646
5627,635
5642,597
5657,623
5671,654
5686,623
5701,599
5715,632
5730,653
5745,621
5760,600
5775,637
5789,648
5804,616
5818,606
5834,636
5849,645
5864,611
5878,600
5893,648
5907,634
5922,603
5937,616
5951,651
5966,636
5981,594
5995,622
6010,649
6025,621
6039,603
6054,632
6069,647
6083,609
6097,608
6113,637
6127,643
6141,614
6157,611
6171,644
6185,639
6200,592
6215,616
6230,653
6244,633
6259,603
6274,631
6289,650
6304,631
6319,588
6333,635
6350,645
6365,636
6380,602
6394,623
6409,650
6424,636
6438,603
6453,628
6468,650
6482,619
6497,601
6512,633
6526,647
6541,613
6555,607
6571,640
6585,636
6599,603
6615,616
6629,646
6643,631
6658,604
6673,632
6687,649
6702,619
6717,598
6731,635
6747,648
6762,621
6776,600
6791,641
6805,649
6820,610
6835,602
6849,646
6864,647
6879,606
6893,606
6908,645
6923,632
6937,601
6951,626
6967,649
6981,620
6995,602
7011,629
7025,646
7040,615
7054,601
7069,638
7084,643
7101,625
7115,600
7131,628
7145,652
7160,622
7175,594
7191,626
7205,648
7220,624
7235,599
7249,631
7265,654
7279,619
7294,598
7309,636
7323,647
7339,619
7353,602
7368,631
7383,641
7398,609
7412,609
7427,644
7442,650
7456,602
7472,606
7486,642
7501,633
7516,597
7530,615
7545,650
7560,634
7575,597
7589,621
7605,644
7619,622
7633,598
7650,618
7664,649
7680,623
7694,597
7708,619
7724,645
7738,623
7753,596
7768,630
7783,648
7797,616
7812,594
7827,633
7841,649
7859,626
7874,594
7888,613
7904,647
7918,628
7933,598
7948,620
7962,648
7977,615
7992,594
8007,630
8022,646
8037,613
8051,588
8066,631
8081,642
8095,608
8112,598
8126,626
8141,647
8156,613
8170,594
8185,637
8200,639
8215,607
8229,601
8244,634
8259,638
8273,605
8289,609
8303,640
8318,636
8333,595
8348,609
8363,642
8378,629
8392,599
8407,609
8422,641
8436,628
8452,588
8466,622
8480,649
8496,623
8510,596
8525,622
8540,645
8555,613
8570,592
8586,623
8600,641
8614,624
8632,604
8647,613
8662,640
8677,636
8691,603
8706,610
8721,642
8735,623
8751,590
8765,616
8780,638
8795,619
8809,594
8824,622
8839,646
8854,611
8868,595
8883,626
8898,639
8912,607
8928,593
8942,631
8957,638
8972,608
8986,602
9001,641
9017,640
9032,607
9047,596
9061,636
9076,641
9091,600
9106,604
9120,634
9135,639
9150,598
9164,608
9180,641
9194,630
9209,596
9224,618
9238,639
9253,618
9268,597
9283,611
9297,645
9312,618
9327,591
9341,631
9357,635
9371,620
9389,598
9404,606
